Files,Before,Size,After,Time
0,180095860736,100,180095758336,0.000132
0,180095758336,200,180095655936,0.0001
0,180095655936,300,180095553536,0.000117
0,180095553536,400,180095451136,9.1e-05
0,180095451136,500,180095348736,9.5e-05
0,180095348736,600,180095246336,9.6e-05
0,180095246336,700,180095143936,0.000119
0,180095143936,800,180095041536,9.2e-05
0,180095041536,900,180094939136,0.000117
0,180094939136,1000,180094836736,0.000145
0,180094836736,1100,180094734336,0.000144
0,180094734336,1200,180094631936,0.000157
0,180094631936,1300,180094529536,0.000158
0,180094529536,1400,180094427136,0.000145
0,180094427136,1500,180094324736,0.000153
0,180094324736,1600,180094222336,0.000145
0,180094222336,1700,180094119936,0.000157
0,180094119936,1800,180094017536,0.000145
0,180094017536,1900,180093915136,0.000147
0,180093915136,2000,180093812736,0.000153
0,180093812736,2100,180093710336,0.000142
0,180093710336,2200,180093607936,0.00016
0,180093607936,2300,180093505536,0.000155
0,180093505536,2400,180093403136,0.000143
0,180093403136,2500,180093300736,0.000151
0,180093300736,2600,180093198336,0.000143
0,180093198336,2700,180093095936,0.000158
0,180093095936,2800,180092993536,0.000145
0,180092993536,2900,180092891136,0.000141
0,180092891136,3000,180092788736,0.00015
0,180092788736,3100,180092686336,0.000146
0,180092686336,3200,180092583936,0.000162
0,180092583936,3300,180092481536,0.000155
0,180092481536,3400,180092379136,0.000141
0,180092379136,3500,180092276736,0.000151
0,180092276736,3600,180092174336,0.000145
0,180092174336,3700,180092071936,0.000156
0,180092071936,3800,180091969536,0.000144
0,180091969536,3900,180091867136,0.000159
0,180091867136,4000,180091764736,0.000144
0,180091764736,4100,180091662336,0.000157
0,180091662336,4200,180091559936,0.000141
0,180091559936,4300,180091457536,0.000126
0,180091457536,4400,180091355136,0.000135
0,180091355136,4500,180091252736,0.000127
0,180091252736,4600,180091150336,0.000133
0,180091150336,4700,180091047936,0.000126
0,180091047936,4800,180090945536,0.000135
0,180090945536,4900,180090843136,0.000128
0,180090843136,5000,180090740736,0.000129
0,180090740736,5100,180090638336,0.000133
0,180090638336,5200,180090535936,0.000139
0,180090535936,5300,180090433536,0.000127
0,180090433536,5400,180090331136,0.00014
0,180090331136,5500,180090228736,0.000129
0,180090228736,5600,180090126336,0.000139
0,180090126336,5700,180090023936,0.000125
0,180090023936,5800,180089921536,0.000133
0,180089921536,5900,180089819136,0.000128
0,180089819136,6000,180089716736,0.000136
0,180089716736,6100,180089614336,0.000133
0,180089614336,6200,180089511936,0.000124
0,180089511936,6300,180089409536,0.00013
0,180089409536,6400,180089307136,0.000142
0,180089307136,6500,180089204736,0.000145
0,180089204736,6600,180089102336,0.000128
0,180089102336,6700,180088999936,0.00014
