Number,Inserted,Space,Time
1,5.24288e+08,178000736256,1.06981
2,1.04858e+09,177475936256,1.08486
3,1.57286e+09,176951136256,1.07163
4,2.09715e+09,176426336256,1.07633
5,2.62144e+09,175901536256,1.07453
6,3.14573e+09,175376736256,1.07451
7,3.67002e+09,174851936256,1.0775
8,4.1943e+09,174327128064,1.07335
9,4.71859e+09,173802328064,1.07153
10,5.24288e+09,173277528064,1.07695
11,5.76717e+09,172752728064,1.07104
12,6.29146e+09,172227928064,1.13948
13,6.81574e+09,171703128064,1.07833
14,7.34003e+09,171178323968,1.09108
15,7.86432e+09,170653519872,1.0811
16,8.38861e+09,170128719872,1.10363
17,8.9129e+09,169603919872,1.07751
18,9.43718e+09,169079119872,1.08211
19,9.96147e+09,168554319872,1.08317
20,1.04858e+10,168029519872,1.1058
21,1.101e+10,167504719872,1.08104
22,1.15343e+10,166979915776,1.08092
23,1.20586e+10,166455115776,1.07324
24,1.25829e+10,165930315776,1.08775
25,1.31072e+10,165405515776,1.09309
26,1.36315e+10,164880711680,1.084
27,1.41558e+10,164355911680,1.08044
28,1.46801e+10,163831111680,1.08433
29,1.52044e+10,163306307584,1.0893
30,1.57286e+10,162781507584,1.08214
31,1.62529e+10,162256707584,1.08769
32,1.67772e+10,161731907584,1.08939
33,1.73015e+10,161207107584,1.12098
34,1.78258e+10,160682307584,1.0815
35,1.83501e+10,160157507584,1.08689
36,1.88744e+10,159632703488,1.08782
37,1.93987e+10,159107903488,1.12682
38,1.99229e+10,158583103488,1.0832
39,2.04472e+10,158058303488,1.08269
40,2.09715e+10,157533503488,1.07957
41,2.14958e+10,157008703488,1.08991
42,2.20201e+10,156483903488,1.07964
43,2.25444e+10,155959099392,1.07996
44,2.30687e+10,155434299392,1.08125
45,2.3593e+10,154909499392,1.08091
46,2.41172e+10,154384699392,1.08351
47,2.46415e+10,153859899392,1.07906
48,2.51658e+10,153335099392,1.07695
49,2.56901e+10,152810299392,1.07984
50,2.62144e+10,152285495296,1.11366
51,2.56901e+10,152285495296,1.57363
50,2.51658e+10,152285495296,1.68105
49,2.46415e+10,152285495296,1.76072
48,2.41172e+10,152285495296,1.68444
47,2.3593e+10,152285495296,1.50218
46,2.30687e+10,152285495296,1.83636
45,2.25444e+10,152285495296,1.84715
44,2.20201e+10,152285495296,1.68616
43,2.14958e+10,152285495296,1.85058
42,2.09715e+10,152285495296,2.01896
41,2.04472e+10,152285495296,1.8355
40,1.99229e+10,152285495296,1.9174
39,1.93987e+10,152285495296,1.59335
38,1.88744e+10,152285495296,1.73548
37,1.83501e+10,152285495296,1.67553
36,1.78258e+10,152285495296,1.79721
35,1.73015e+10,152285495296,1.75819
34,1.67772e+10,152285495296,1.85378
33,1.62529e+10,152285495296,1.84714
32,1.57286e+10,152285495296,1.7149
31,1.52044e+10,152285495296,1.93409
30,1.46801e+10,152285495296,1.46072
29,1.41558e+10,152285495296,1.70852
28,1.36315e+10,152285495296,1.67037
27,1.31072e+10,152285495296,1.45008
26,1.25829e+10,152285495296,1.51965
25,1.20586e+10,152285495296,1.51604
24,1.15343e+10,152285495296,1.66609
23,1.101e+10,152285495296,1.87029
22,1.04858e+10,152285495296,1.61235
21,9.96147e+09,152285495296,1.71401
20,9.43718e+09,152285495296,1.85595
19,8.9129e+09,152285495296,1.68638
18,8.38861e+09,152285495296,1.85717
