Number,Inserted,Space,Time
1,5.24288e+08,178000719872,1.08298
2,1.04858e+09,177475919872,1.16534
3,1.57286e+09,176951119872,1.08729
4,2.09715e+09,176426319872,1.08535
5,2.62144e+09,175901519872,1.0811
6,3.14573e+09,175376719872,1.10956
7,3.67002e+09,174851919872,1.08127
8,4.1943e+09,174327111680,1.08334
9,4.71859e+09,173802311680,1.08446
10,5.24288e+09,173277511680,1.0984
11,5.76717e+09,172752711680,1.08126
12,6.29146e+09,172227911680,1.0798
13,6.81574e+09,171703111680,1.08314
14,7.34003e+09,171178311680,1.1024
15,7.86432e+09,170653507584,1.08176
16,8.38861e+09,170128707584,1.09253
17,8.9129e+09,169603907584,1.0878
18,9.43718e+09,169079107584,1.09063
19,9.96147e+09,168554307584,1.08744
20,1.04858e+10,168029507584,1.08959
21,1.101e+10,167504707584,1.08713
22,1.15343e+10,166979903488,1.09086
23,1.20586e+10,166455103488,1.14053
24,1.25829e+10,165930303488,1.08677
25,1.31072e+10,165405503488,1.0864
26,1.36315e+10,164880703488,1.08794
27,1.41558e+10,164355903488,1.09374
28,1.46801e+10,163831103488,1.10149
29,1.52044e+10,163306299392,1.09289
30,1.57286e+10,162781499392,1.09279
31,1.62529e+10,162256699392,1.09208
32,1.67772e+10,161731899392,1.12044
33,1.73015e+10,161207099392,1.09082
34,1.78258e+10,160682299392,1.09073
35,1.83501e+10,160157499392,1.09249
36,1.88744e+10,159632695296,1.10081
37,1.93987e+10,159107895296,1.10775
38,1.99229e+10,158583095296,1.09235
39,2.04472e+10,158058295296,1.09966
40,2.09715e+10,157533495296,1.09388
41,2.14958e+10,157008695296,1.09688
42,2.20201e+10,156483895296,1.09467
43,2.25444e+10,155959091200,1.09407
44,2.30687e+10,155434291200,1.09764
45,2.3593e+10,154909491200,1.0939
46,2.41172e+10,154384691200,1.11493
47,2.46415e+10,153859891200,1.09403
48,2.51658e+10,153335091200,1.09569
49,2.56901e+10,152810291200,1.09641
50,2.62144e+10,152285487104,1.09792
51,2.56901e+10,152285487104,1.59965
50,2.51658e+10,152285487104,1.77252
49,2.46415e+10,152285487104,1.75806
48,2.41172e+10,152285487104,1.75817
47,2.3593e+10,152285487104,1.59324
46,2.30687e+10,152285487104,1.78022
45,2.25444e+10,152285487104,1.84806
44,2.20201e+10,152285487104,1.72711
43,2.14958e+10,152285487104,1.71765
42,2.09715e+10,152285487104,1.91916
41,2.04472e+10,152285487104,1.79442
40,1.99229e+10,152285487104,1.5696
39,1.93987e+10,152285487104,1.81665
38,1.88744e+10,152285487104,1.78653
37,1.83501e+10,152285487104,1.70326
36,1.78258e+10,152285487104,1.67321
35,1.73015e+10,152285487104,1.71628
34,1.67772e+10,152285487104,1.78656
33,1.62529e+10,152285487104,1.71407
32,1.57286e+10,152285487104,1.80812
31,1.52044e+10,152285487104,1.69298
30,1.46801e+10,152285483008,1.7576
29,1.41558e+10,152285483008,1.74461
28,1.36315e+10,152285483008,1.69733
27,1.31072e+10,152285483008,1.86063
26,1.25829e+10,152285483008,1.89088
25,1.20586e+10,152285483008,1.67816
24,1.15343e+10,152285483008,1.89992
23,1.101e+10,152285483008,1.86305
22,1.04858e+10,152285483008,1.55893
21,9.96147e+09,152285483008,1.4953
20,9.43718e+09,152285483008,1.51705
19,8.9129e+09,152285483008,1.43383
18,8.38861e+09,152285483008,1.44057
17,7.86432e+09,152285483008,1.58889
16,7.34003e+09,152285483008,1.43548
15,6.81574e+09,152285483008,1.60701
14,6.29146e+09,152285483008,1.59349
13,5.76717e+09,152285483008,1.73041
12,5.24288e+09,152285483008,1.82403
11,4.71859e+09,152285483008,1.80118
10,4.1943e+09,152285483008,1.72879
9,3.67002e+09,152285483008,1.82108
8,3.14573e+09,152285483008,1.87995
7,2.62144e+09,152285483008,1.95452
6,2.09715e+09,152285483008,1.99225
5,1.57286e+09,152285483008,1.86568
4,1.04858e+09,152285483008,1.79274
3,5.24288e+08,152285483008,1.66611
2,0,152285483008,1.7471
1,5.24288e+08,152285483008,0.999673
2,1.04858e+09,152285483008,0.999398
3,1.57286e+09,152285483008,1.01289
4,2.09715e+09,152285483008,1.02723
5,2.62144e+09,152285483008,1.0039
6,3.14573e+09,152285483008,1.00456
7,3.67002e+09,152285483008,1.00741
8,4.1943e+09,152285483008,1.00865
9,4.71859e+09,152285483008,0.99667
10,5.24288e+09,152285483008,0.996448
11,5.76717e+09,152285483008,0.995951
12,6.29146e+09,152285483008,0.997018
13,6.81574e+09,152285483008,1.05112
14,7.34003e+09,152285483008,0.99816
15,7.86432e+09,152285483008,0.99708
16,8.38861e+09,152285478912,0.993804
17,8.9129e+09,152285478912,1.00061
18,9.43718e+09,152285478912,0.994412
19,9.96147e+09,152285478912,0.990335
20,1.04858e+10,152285478912,1.07454
21,1.101e+10,152285478912,1.0662
22,1.15343e+10,152285478912,1.07598
23,1.20586e+10,152285478912,1.06961
24,1.25829e+10,152285478912,1.07357
25,1.31072e+10,152285478912,1.0644
26,1.36315e+10,152285478912,1.07026
27,1.41558e+10,152285478912,1.06707
28,1.46801e+10,152285478912,1.06221
29,1.52044e+10,152285478912,1.00078
30,1.57286e+10,152285478912,1.04026
31,1.62529e+10,152285478912,1.10498
32,1.67772e+10,152285478912,1.06339
33,1.73015e+10,152285478912,1.06844
34,1.78258e+10,152285478912,1.07404
35,1.83501e+10,152285478912,1.07837
36,1.88744e+10,152285478912,1.06526
37,1.93987e+10,152285478912,1.06693
38,1.99229e+10,152285478912,1.06491
39,2.04472e+10,152285478912,1.07469
40,2.09715e+10,152285478912,1.06675
41,2.14958e+10,152285478912,1.06432
42,2.20201e+10,152285478912,1.06195
43,2.25444e+10,152285478912,1.06774
44,2.30687e+10,152285478912,1.10504
45,2.3593e+10,152285478912,1.06255
46,2.41172e+10,152285478912,1.06136
47,2.46415e+10,152285478912,1.06147
48,2.51658e+10,152285478912,1.13462
49,2.56901e+10,152285478912,1.06227
50,2.62144e+10,152285478912,1.06546
51,2.56901e+10,152285478912,1.62527
50,2.51658e+10,152285478912,1.86912
49,2.46415e+10,152285478912,1.73167
48,2.41172e+10,152285478912,1.59885
47,2.3593e+10,152285478912,1.71476
46,2.30687e+10,152285478912,1.786
45,2.25444e+10,152285478912,1.95506
44,2.20201e+10,152285478912,1.80965
43,2.14958e+10,152285478912,1.77267
42,2.09715e+10,152285478912,1.96741
41,2.04472e+10,152285478912,1.7361
40,1.99229e+10,152285478912,1.81837
39,1.93987e+10,152285478912,1.92378
38,1.88744e+10,152285478912,1.71087
37,1.83501e+10,152285478912,1.68754
36,1.78258e+10,152285478912,1.77211
35,1.73015e+10,152285478912,1.89402
34,1.67772e+10,152285478912,1.81727
33,1.62529e+10,152285478912,1.63116
32,1.57286e+10,152285478912,2.92815
31,1.52044e+10,152285478912,2.37178
30,1.46801e+10,152285478912,1.86373
29,1.41558e+10,152285478912,3.12995
28,1.36315e+10,152285478912,3.06677
27,1.31072e+10,152285478912,3.07876
26,1.25829e+10,152285478912,2.92547
25,1.20586e+10,152285478912,3.03397
24,1.15343e+10,152285478912,2.95838
23,1.101e+10,152285478912,2.77147
22,1.04858e+10,152285478912,3.32273
21,9.96147e+09,152285478912,2.8962
20,9.43718e+09,152285478912,2.61335
19,8.9129e+09,152285478912,2.6771
18,8.38861e+09,152285478912,2.80505
17,7.86432e+09,152285478912,2.74086
